Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
Get Out,0.001709808,0.001379267,0.992238104,0.00056602,0.003765369,0.000341466,Detective/Spy,Past,Daytime,"['Thriller', 'Horror']"
Get Shorty,0.993589997,0.002109851,0.001386273,0.001129335,0.001501073,0.000283413,Detective/Spy,Future,Daytime,"['Crime', 'Comedy', 'Drama', 'Action']"
Ghost Rider,0.455586612,0.138249189,0.252031714,0.004077487,0.146738395,0.003316568,Realist,Past,Daytime,"['Thriller', 'Fantasy', 'Action']"
Ghost Ship,0.56952405,0.166916609,0.215603918,0.006071195,0.037326902,0.004557261,Realist,Past,Daytime,"['Action', 'Thriller', 'Horror', 'Adventure', 'Sci-Fi']"
Ghost World,0.070830002,0.757805526,0.00829313,0.001251046,0.147161603,0.014658736,Realist,Past,Daytime,"['Comedy', 'Drama']"
Ghost,0.001099166,0.970914066,0.000967423,0.000393557,0.00219611,0.024429699,Detective/Spy,Future,Daytime,"['Thriller', 'Romance', 'Fantasy', 'Drama']"
Ghostbusters 2,0.040777985,0.86008364,0.029028909,0.001141347,0.004180866,0.064787284,Monster/Killer/Victim,Past,Nighttime,"['Comedy', 'Adventure', 'Sci-Fi', 'Action']"
Ghostbusters,0.001190483,0.996969998,0.00028408,0.000133977,0.000371335,0.001050105,Fighter,Past,Nighttime,"['Comedy', 'Fantasy', 'Sci-Fi']"
Gladiator,0.126926497,0.625041187,0.188516542,0.017354859,0.024762135,0.017398795,Law Person/Outlaw,Past,Daytime,"['Drama', 'Action']"
Glengarry Glen Gross,0.208304226,0.015241935,0.675850511,0.004073384,0.095106818,0.001423106,Fighter,Past,Daytime,['Drama']
Go,0.02687913,0.014950372,0.067333885,0.001806567,0.887841761,0.001188235,Detective/Spy,Past,Nighttime,"['Crime', 'Comedy']"
Godfather Part II,0.228273556,0.625833631,0.003088183,0.001425613,0.13915652,0.002222594,Detective/Spy,Past,Daytime,"['Crime', 'Drama']"
Godfather,0.076240122,0.03548605,0.007251228,0.001155017,0.878935814,0.000931689,Child,Past,Daytime,"['Crime', 'Drama']"
Gods and Monsters,0.012734472,0.976555407,0.000832997,0.000498204,0.00727464,0.002104326,Detective/Spy,Past,Daytime,['Drama']
Godzilla,0.051119607,0.793529391,0.094420314,0.004549437,0.019923437,0.036457784,Fighter,Present,Daytime,"['Thriller', 'Sci-Fi', 'Action']"
Gone Baby Gone,0.641846597,0.330799758,0.005337055,0.015236583,0.00494407,0.001835944,Realist,Past,Daytime,"['Crime', 'Drama']"
Gone in 60 Seconds,0.185516,0.081116915,0.414598346,0.021199144,0.271253258,0.02631636,Fighter,Past,Daytime,"['Crime', 'Action']"
Good Will Hunting,0.987542212,0.002229051,0.004777751,0.000628074,0.0045141,0.000308842,Child,Past,Daytime,"['Comedy', 'Drama']"
Gothika,0.091166385,0.795587957,0.084247723,0.002715855,0.022905039,0.00337704,Child,Past,Nighttime,"['Thriller', 'Horror']"
